no,code,name
710,95500,미래나노텍
711,25560,미래산업
712,218150,미래생명자원
713,7120,미래아이앤지
714,6800,미래에셋대우
715,328380,미래에셋대우스팩3호
716,333430,미래에셋대우스팩4호
717,357250,미래에셋맵스리츠
718,100790,미래에셋벤처투자
719,85620,미래에셋생명
720,49950,미래컴퍼니
721,213090,미래테크놀로지
722,207760,미스터블루
723,225850,미애부
724,2840,미원상사
725,268280,미원에스씨
726,107590,미원홀딩스
727,134380,미원화학
728,3650,미창석유공업
729,59090,미코
730,214610,미코바이오메드
731,201490,미투온
732,214180,민앤지
733,155900,바다로19호
734,206640,바디텍메드
735,18700,바른손
736,35620,바른손이앤에이
737,64520,바른전자
738,29480,바른테크놀로지
739,53030,바이넥스
740,64550,바이오니아
741,208710,바이오로그디바이스
742,142760,바이오리더스
743,86820,바이오솔루션
744,38460,바이오스마트
745,281310,바이오시네틱스
746,266470,바이오인프라생명과학
747,216400,바이오코아
748,86040,바이오톡스텍
749,199290,바이오프로테크
750,32980,바이온
751,222160,바이옵트로
752,43150,바텍
753,3610,방림
754,267790,배럴
755,1340,백광산업
756,46310,백금T&A
757,35150,백산
758,36620,버추얼텍
759,66410,버킷스튜디오
760,2410,범양건영
761,19010,베뉴지
762,177350,베셀
763,299910,베스파
764,96300,베트남개발1
765,7210,벽산
766,225530,보광산업
767,250000,보라티알
768,2760,보락
769,3850,보령제약
770,6910,보성파워텍
771,890,보해양조
772,226340,본느
773,206950,볼빅
774,3000,부광약품
775,1270,부국증권
776,26940,부국철강
777,14470,부방
778,15350,부산도시가스
779,11390,부산산업
780,5030,부산주공
781,8470,부스타
782,100120,뷰웍스
783,337930,브랜드엑스코퍼레이션
784,66980,브레인콘텐츠
785,64480,브리지텍
786,288330,브릿지바이오
787,251630,브이원텍
788,18290,브이티지엠피
789,263920,블러썸엠앤씨
790,33560,블루콤
791,126340,비나텍
792,121800,비덴트
793,148140,비디아이
794,2070,비비안
795,100220,비상교육
796,200780,비씨월드제약
797,141000,비아트론
798,90460,비에이치
799,83650,비에이치아이
800,215050,비엔디생활건강
801,271780,비엔에프코퍼레이션
802,86670,비엠티
803,138580,비즈니스온
804,82920,비츠로셀
805,54220,비츠로시스
806,42370,비츠로테크
807,30790,비케이탑스
808,32850,비트컴퓨터
809,101140,비티원
810,148780,비플라이소프트
811,238200,비피도
812,93190,빅솔론
813,65450,빅텍
814,210120,빅텐츠
815,5180,빙그레
816,72950,빛샘전자
817,266170,뿌리깊은나무들
818,143240,사람인에이치알
819,3960,사조대림
820,8040,사조동아원
821,7160,사조산업
822,14710,사조씨푸드
823,6090,사조오양
824,100090,삼강엠앤티
825,5090,삼광글라스
826,122350,삼기오토모티브
827,14970,삼륭물산
828,18310,삼목에스폼
829,53700,삼보모터스
830,9620,삼보산업
831,23600,삼보판지
832,111870,삼본전자
833,1470,삼부토건
834,6400,삼성SDI
835,6660,삼성공조
836,309930,삼성머스트스팩3호
837,28260,삼성물산
838,207940,삼성바이오로직스
839,32830,삼성생명
840,291230,삼성스팩2호
841,18260,삼성에스디에스
842,28050,삼성엔지니어링
843,9150,삼성전기
844,5930,삼성전자
845,1360,삼성제약
846,10140,삼성중공업
847,16360,삼성증권
848,68290,삼성출판사
849,29780,삼성카드
850,810,삼성화재해상보험
851,6110,삼아알미늄
852,9300,삼아제약
853,145990,삼양사
854,3230,삼양식품
855,225190,삼양옵틱스
856,2170,삼양통상
857,272550,삼양패키징
858,70,삼양홀딩스
859,2810,삼영무역
860,54540,삼영엠텍
861,65570,삼영이엔씨
862,5680,삼영전자공업
863,3720,삼영화학공업
864,23000,삼원강재
865,4380,삼익THK
866,2450,삼익악기
867,32280,삼일
868,2290,삼일기업공사
869,520,삼일제약
870,9770,삼정펄프
871,37460,삼지전자
872,32750,삼진
873,54090,삼진엘앤디
874,5500,삼진제약
875,250,삼천당제약
876,4690,삼천리
877,24950,삼천리자전거
878,38500,삼표시멘트
879,17480,삼현철강
